Number,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
0,67,male,2,own,NA,little,"$1,169",6    ,radio/TV
1,22,female,2,own,little,moderate,"$5,951",48    ,radio/TV
2,49,male,1,own,little,NA,"$2,096",12    ,education
3,45,male,2,free,little,little,"$7,882",42    ,furniture/equipment
4,53,male,2,free,little,little,"$4,870",24    ,car
5,35,male,1,free,NA,NA,"$9,055",36    ,education
6,53,male,2,own,quite rich,NA,"$2,835",24    ,furniture/equipment
7,35,male,3,rent,little,moderate,"$6,948",36    ,car
8,61,male,1,own,rich,NA,"$3,059",12    ,radio/TV
9,28,male,3,own,little,moderate,"$5,234",30    ,car
10,25,female,2,rent,little,moderate,"$1,295",12    ,car
11,24,female,2,rent,little,little,"$4,308",48    ,business
12,22,female,2,own,little,moderate,"$1,567",12    ,radio/TV
13,60,male,1,own,little,little,"$1,199",24    ,car
14,28,female,2,rent,little,little,"$1,403",15    ,car
15,32,female,1,own,moderate,little,"$1,282",24    ,radio/TV
16,53,male,2,own,NA,NA,"$2,424",24    ,radio/TV
17,25,male,2,own,NA,little,"$8,072",30    ,business
18,44,female,3,free,little,moderate,"$12,579",24    ,car
19,31,male,2,own,quite rich,NA,"$3,430",24    ,radio/TV
20,48,male,2,own,little,NA,"$2,134",9    ,car
21,44,male,2,rent,quite rich,little,"$2,647",6    ,radio/TV
22,48,male,1,rent,little,little,"$2,241",10    ,car
23,44,male,2,own,moderate,moderate,"$1,804",12    ,car
24,26,male,2,own,NA,NA,"$2,069",10    ,furniture/equipment
25,36,male,1,own,little,little,"$1,374",6    ,furniture/equipment
26,39,male,1,own,little,NA,$426,6    ,radio/TV
27,42,female,2,rent,rich,rich,$409,12    ,radio/TV
28,34,male,2,own,little,moderate,"$2,415",7    ,radio/TV
29,63,male,2,own,little,little,"$6,836",60    ,business
30,36,male,2,own,rich,moderate,"$1,913",18    ,business
31,27,male,2,own,little,little,"$4,020",24    ,furniture/equipment
32,30,male,2,own,moderate,moderate,"$5,866",18    ,car
33,57,male,1,rent,NA,NA,"$1,264",12    ,business
34,33,female,3,own,little,rich,"$1,474",12    ,furniture/equipment
35,25,male,1,own,little,moderate,"$4,746",45    ,radio/TV
36,31,male,2,free,little,NA,"$6,110",48    ,education
37,37,male,2,own,little,rich,"$2,100",18    ,radio/TV
38,37,male,2,own,little,rich,"$1,225",10    ,domestic appliances
39,24,male,2,own,little,moderate,$458,9    ,radio/TV
40,30,male,3,own,quite rich,NA,"$2,333",30    ,radio/TV
41,26,male,2,own,quite rich,moderate,"$1,158",12    ,radio/TV
42,44,male,1,own,little,moderate,"$6,204",18    ,repairs
43,24,male,2,rent,moderate,little,"$6,187",30    ,car
44,58,female,1,free,little,little,"$6,143",48    ,car
45,35,female,3,own,little,NA,"$1,393",11    ,car
46,39,male,2,own,quite rich,NA,"$2,299",36    ,radio/TV
47,23,female,0,rent,quite rich,little,"$1,352",6    ,car
48,39,male,1,own,little,NA,"$7,228",11    ,car
49,28,female,2,own,moderate,NA,"$2,073",12    ,radio/TV
50,29,male,1,own,NA,moderate,"$2,333",24    ,furniture/equipment
51,30,male,3,own,little,moderate,"$5,965",27    ,car
52,25,male,2,own,little,NA,"$1,262",12    ,radio/TV
53,31,male,2,own,NA,NA,"$3,378",18    ,car
54,57,male,2,free,little,moderate,"$2,225",36    ,car
55,26,male,1,own,NA,NA,$783,6    ,car
56,52,male,3,own,NA,moderate,"$6,468",12    ,radio/TV
57,31,female,2,own,little,NA,"$9,566",36    ,radio/TV
58,23,female,3,own,little,rich,"$1,961",18    ,car
59,23,female,1,rent,little,little,"$6,229",36    ,furniture/equipment
60,27,male,2,own,little,moderate,"$1,391",9    ,business
61,50,male,2,own,NA,moderate,"$1,537",15    ,radio/TV
62,61,male,3,free,little,moderate,"$1,953",36    ,business
63,25,male,2,own,little,moderate,"$14,421",48    ,business
64,26,female,2,own,little,NA,"$3,181",24    ,radio/TV
65,48,male,2,own,NA,NA,"$5,190",27    ,repairs
66,29,female,2,own,little,NA,"$2,171",12    ,radio/TV
67,22,male,2,own,rich,moderate,"$1,007",12    ,car
68,37,male,2,free,little,NA,"$1,819",36    ,education
69,25,female,2,own,NA,NA,"$2,394",36    ,radio/TV
70,30,female,2,own,little,NA,"$8,133",36    ,car
71,46,male,1,rent,NA,NA,$730,7    ,radio/TV
72,51,male,3,free,little,little,"$1,164",8    ,vacation/others
73,41,female,1,own,little,moderate,"$5,954",42    ,business
74,40,male,3,own,NA,little,"$1,977",36    ,education
75,66,male,3,free,little,little,"$1,526",12    ,car
76,34,male,2,own,little,little,"$3,965",42    ,radio/TV
77,51,male,2,own,little,moderate,"$4,771",11    ,radio/TV
78,39,male,1,own,NA,NA,"$9,436",54    ,car
79,22,male,2,own,little,moderate,"$3,832",30    ,furniture/equipment
80,44,female,2,own,NA,NA,"$5,943",24    ,radio/TV
81,47,male,2,own,quite rich,NA,"$1,213",15    ,radio/TV
82,24,female,1,rent,moderate,NA,"$1,568",18    ,business
83,58,female,1,own,little,little,"$1,755",24    ,vacation/others
84,52,male,1,own,little,little,"$2,315",10    ,radio/TV
85,29,female,3,own,little,NA,"$1,412",12    ,business
86,27,female,2,own,little,moderate,"$1,295",18    ,furniture/equipment
87,47,male,2,free,moderate,moderate,"$12,612",36    ,education
88,30,male,3,own,moderate,little,"$2,249",18    ,car
89,28,male,2,own,little,little,"$1,108",12    ,repairs
90,56,male,2,own,little,NA,$618,12    ,radio/TV
91,54,male,2,own,little,little,"$1,409",12    ,car
92,33,female,1,own,NA,NA,$797,12    ,radio/TV
93,20,male,2,rent,NA,rich,"$3,617",24    ,furniture/equipment
94,54,male,2,own,rich,moderate,"$1,318",12    ,car
95,58,male,2,rent,little,moderate,"$15,945",54    ,business
96,61,female,2,own,NA,NA,"$2,012",12    ,education
97,34,male,2,own,moderate,moderate,"$2,622",18    ,business
98,36,male,2,own,little,moderate,"$2,337",36    ,radio/TV
99,36,male,3,rent,NA,moderate,"$7,057",20    ,car
100,41,male,1,rent,moderate,NA,"$1,469",24    ,car
101,24,male,2,rent,little,moderate,"$2,323",36    ,radio/TV
102,24,female,2,own,little,NA,$932,6    ,radio/TV
103,35,male,2,rent,little,moderate,"$1,919",9    ,furniture/equipment
104,26,male,2,rent,NA,NA,"$2,445",12    ,car
105,39,male,3,own,little,moderate,"$11,938",24    ,vacation/others
106,39,male,3,own,little,NA,"$6,458",18    ,car
107,32,male,2,own,little,moderate,"$6,078",12    ,car
108,30,female,2,own,NA,little,"$7,721",24    ,furniture/equipment
109,35,male,2,own,quite rich,moderate,"$1,410",14    ,business
110,31,male,2,own,moderate,moderate,"$1,449",6    ,business
111,23,female,2,rent,little,rich,$392,15    ,education
112,28,male,1,rent,little,moderate,"$6,260",18    ,car
113,25,female,2,own,little,NA,"$7,855",36    ,car
114,35,male,2,own,quite rich,little,"$1,680",12    ,radio/TV
115,47,male,2,own,NA,NA,"$3,578",48    ,radio/TV
116,30,female,3,own,NA,little,"$7,174",42    ,radio/TV
117,27,female,2,rent,NA,little,"$2,132",10    ,furniture/equipment
118,23,female,2,own,quite rich,little,"$4,281",33    ,furniture/equipment
119,36,male,3,own,quite rich,moderate,"$2,366",12    ,car
120,25,female,2,own,little,little,"$1,835",21    ,radio/TV
121,41,female,3,rent,little,NA,"$3,868",24    ,car
122,24,male,1,rent,little,NA,"$1,768",12    ,furniture/equipment
123,63,male,2,free,little,rich,$781,10    ,car
124,27,female,2,rent,NA,moderate,"$1,924",18    ,furniture/equipment
125,30,male,2,own,little,little,"$2,121",12    ,car
126,40,male,1,own,little,little,$701,12    ,radio/TV
127,30,male,2,own,little,moderate,$639,12    ,repairs
128,34,male,3,own,little,moderate,"$1,860",12    ,car
129,29,female,2,own,little,little,"$3,499",12    ,car
130,24,female,2,own,NA,moderate,"$8,487",48    ,car
131,29,male,2,own,little,little,"$6,887",36    ,education
132,27,male,1,own,little,NA,"$2,708",15    ,furniture/equipment
133,47,male,2,free,little,NA,"$1,984",18    ,furniture/equipment
134,21,female,2,own,moderate,NA,"$10,144",60    ,radio/TV
135,38,female,2,own,NA,NA,"$1,240",12    ,radio/TV
136,27,male,2,own,rich,NA,"$8,613",27    ,car
137,66,male,1,own,quite rich,moderate,$766,12    ,radio/TV
138,35,male,2,own,NA,moderate,"$2,728",15    ,radio/TV
139,44,female,1,rent,little,rich,"$1,881",12    ,radio/TV
140,27,male,0,own,rich,rich,$709,6    ,car
141,30,female,3,own,little,moderate,"$4,795",36    ,radio/TV
142,27,male,3,own,little,little,"$3,416",27    ,radio/TV
143,22,male,2,own,little,little,"$2,462",18    ,furniture/equipment
144,23,female,2,own,little,NA,"$2,288",21    ,furniture/equipment
145,30,male,2,own,moderate,moderate,"$3,566",48    ,business
146,39,female,2,own,little,little,$860,6    ,car
147,51,female,2,own,moderate,NA,$682,12    ,car
148,28,male,2,own,little,little,"$5,371",36    ,furniture/equipment
149,46,male,2,own,rich,NA,"$1,582",18    ,radio/TV
150,42,male,2,free,moderate,NA,"$1,346",6    ,radio/TV
151,38,male,2,own,little,NA,"$1,924",10    ,radio/TV
152,24,male,2,own,little,rich,"$5,848",36    ,radio/TV
153,29,female,2,rent,rich,moderate,"$7,758",24    ,car
154,36,male,3,rent,moderate,moderate,"$6,967",24    ,business
155,20,female,2,rent,little,little,"$1,282",12    ,furniture/equipment
156,48,male,2,own,moderate,little,"$1,288",9    ,repairs
157,45,male,1,own,little,little,$339,12    ,education
158,38,male,2,own,moderate,moderate,"$3,512",24    ,car
159,34,male,1,own,NA,NA,"$1,898",6    ,radio/TV
160,36,male,2,own,moderate,NA,"$2,872",24    ,radio/TV
161,30,female,2,own,little,NA,"$1,055",18    ,car
162,36,male,2,own,quite rich,NA,"$1,262",15    ,domestic appliances
163,70,male,3,free,little,moderate,"$7,308",10    ,car
164,36,male,2,own,quite rich,NA,$909,36    ,car
165,32,male,2,own,quite rich,NA,"$2,978",6    ,furniture/equipment
166,33,female,2,own,little,little,"$1,131",18    ,furniture/equipment
167,20,female,2,own,rich,moderate,"$1,577",11    ,furniture/equipment
168,25,female,2,rent,little,NA,"$3,972",24    ,furniture/equipment
169,31,male,2,own,little,moderate,"$1,935",24    ,business
170,33,male,2,rent,little,little,$950,15    ,car
171,26,female,2,own,little,NA,$763,12    ,furniture/equipment
172,34,female,3,own,little,moderate,"$2,064",24    ,furniture/equipment
173,33,male,2,own,little,moderate,"$1,414",8    ,radio/TV
174,26,male,2,own,little,little,"$3,414",21    ,education
175,53,female,3,own,NA,NA,"$7,485",30    ,car
176,42,male,2,own,little,little,"$2,577",12    ,furniture/equipment
177,52,male,2,own,quite rich,little,$338,6    ,radio/TV
178,31,male,3,rent,little,NA,"$1,963",12    ,radio/TV
179,65,male,2,own,little,little,$571,21    ,car
180,28,male,2,own,little,NA,"$9,572",36    ,business
181,30,male,3,own,little,moderate,"$4,455",36    ,business
182,40,male,1,own,NA,little,"$1,647",21    ,car
183,50,male,2,own,rich,NA,"$3,777",24    ,furniture/equipment
184,36,male,2,own,little,moderate,$884,18    ,car
185,31,male,2,own,little,NA,"$1,360",15    ,radio/TV
186,74,female,3,free,little,moderate,"$5,129",9    ,car
187,68,male,0,free,little,moderate,"$1,175",16    ,car
188,20,male,2,own,moderate,little,$674,12    ,radio/TV
189,33,female,2,own,little,moderate,"$3,244",18    ,furniture/equipment
190,54,male,3,own,rich,NA,"$4,591",24    ,business
191,34,male,1,free,moderate,moderate,"$3,844",48    ,business
192,36,male,2,own,little,moderate,"$3,915",27    ,business
193,29,male,2,rent,little,NA,"$2,108",6    ,radio/TV
194,21,male,2,rent,moderate,moderate,"$3,031",45    ,radio/TV
195,34,female,3,own,little,moderate,"$1,501",9    ,education
196,28,female,2,own,little,NA,"$1,382",6    ,radio/TV
197,27,female,2,rent,moderate,moderate,$951,12    ,furniture/equipment
198,36,male,2,free,NA,moderate,"$2,760",24    ,car
199,40,male,3,own,little,moderate,"$4,297",18    ,furniture/equipment
200,52,male,2,own,quite rich,NA,$936,9    ,education
201,27,male,1,own,little,little,"$1,168",12    ,car
202,26,male,2,own,little,NA,"$5,117",27    ,business
203,21,male,2,rent,little,little,$902,12    ,education
204,38,male,1,own,little,NA,"$1,495",12    ,car
205,38,male,3,free,little,little,"$10,623",30    ,car
206,43,male,2,own,little,NA,"$1,935",12    ,furniture/equipment
207,26,male,2,own,little,moderate,"$1,424",12    ,domestic appliances
208,21,male,1,own,little,little,"$6,568",24    ,business
209,55,male,2,own,rich,NA,"$1,413",12    ,car
210,33,male,2,own,NA,NA,"$3,074",9    ,radio/TV
211,45,female,1,own,NA,NA,"$3,835",36    ,radio/TV
212,50,male,2,own,little,little,"$5,293",27    ,business
213,66,male,3,own,little,rich,"$1,908",30    ,business
214,51,male,2,own,NA,NA,"$3,342",36    ,radio/TV
215,39,female,1,own,NA,moderate,$932,6    ,education
216,31,male,2,own,little,little,"$3,104",18    ,business
217,23,male,2,own,little,rich,"$3,913",36    ,radio/TV
218,24,male,1,rent,little,little,"$3,021",24    ,furniture/equipment
219,64,female,2,own,little,NA,"$1,364",10    ,car
220,26,male,1,own,little,moderate,$625,12    ,radio/TV
221,23,female,2,rent,NA,little,"$1,200",12    ,education
222,30,male,2,own,little,NA,$707,12    ,radio/TV
223,32,male,2,own,NA,NA,"$2,978",24    ,business
224,30,male,2,own,little,NA,"$4,657",15    ,car
225,27,male,2,own,little,NA,"$2,613",36    ,repairs
226,27,male,2,own,rich,moderate,"$10,961",48    ,radio/TV
227,53,male,3,free,little,little,"$7,865",12    ,furniture/equipment
228,22,male,2,own,little,NA,"$1,478",9    ,radio/TV
229,22,male,2,free,little,little,"$3,149",24    ,furniture/equipment
230,26,male,2,own,little,rich,"$4,210",36    ,radio/TV
231,51,male,1,free,quite rich,NA,"$2,507",9    ,car
232,35,male,2,own,moderate,NA,"$2,141",12    ,radio/TV
233,25,male,1,own,little,moderate,$866,18    ,radio/TV
234,42,male,1,own,little,NA,"$1,544",4    ,radio/TV
235,30,male,3,own,little,little,"$1,823",24    ,radio/TV
236,23,male,0,own,NA,moderate,"$14,555",6    ,car
237,61,male,1,rent,moderate,moderate,"$2,767",21    ,business
238,35,female,2,own,little,NA,"$1,291",12    ,radio/TV
239,39,male,2,own,little,little,"$2,522",30    ,radio/TV
240,29,female,2,own,NA,little,$915,24    ,car
241,51,male,2,own,little,NA,"$1,595",6    ,radio/TV
242,24,male,2,free,little,little,"$4,605",48    ,car
243,27,female,2,own,little,NA,"$1,185",12    ,business
244,35,female,1,own,quite rich,NA,"$3,447",12    ,education
245,25,male,2,own,little,NA,"$1,258",24    ,business
246,52,male,2,own,little,NA,$717,12    ,radio/TV
247,35,male,2,rent,moderate,NA,"$1,204",6    ,car
248,26,male,2,own,little,rich,"$1,925",24    ,furniture/equipment
249,22,female,2,rent,little,NA,$433,18    ,radio/TV
250,39,female,1,own,rich,little,$666,6    ,car
251,46,female,1,own,little,rich,"$2,251",12    ,furniture/equipment
252,24,female,2,own,little,moderate,"$2,150",30    ,car
253,35,male,2,own,moderate,NA,"$4,151",24    ,furniture/equipment
254,24,male,2,own,NA,moderate,"$2,030",9    ,furniture/equipment
255,27,male,1,own,NA,moderate,"$7,418",60    ,radio/TV
256,35,male,1,own,little,NA,"$2,684",24    ,radio/TV
257,29,male,2,free,little,little,"$2,149",12    ,radio/TV
258,23,female,2,own,moderate,NA,"$3,812",15    ,car
259,57,female,1,own,moderate,NA,"$1,154",11    ,radio/TV
260,27,male,2,own,little,little,"$1,657",12    ,furniture/equipment
261,55,female,2,own,little,little,"$1,603",24    ,radio/TV
262,36,male,3,free,little,little,"$5,302",18    ,car
263,57,female,1,free,little,NA,"$2,748",12    ,education
264,32,male,1,own,little,NA,"$1,231",10    ,car
265,37,male,2,own,little,moderate,$802,15    ,radio/TV
266,36,male,2,own,NA,NA,"$6,304",36    ,business
267,38,female,2,own,little,NA,"$1,533",24    ,radio/TV
268,45,male,3,own,little,little,"$8,978",14    ,car
269,25,male,2,own,NA,NA,$999,24    ,radio/TV
270,32,male,2,own,NA,NA,"$2,662",18    ,car
271,37,female,2,rent,quite rich,NA,"$1,402",12    ,furniture/equipment
272,36,male,3,free,NA,moderate,"$12,169",48    ,car
273,28,male,2,own,little,moderate,"$3,060",48    ,radio/TV
274,34,male,1,own,little,little,"$11,998",30    ,repairs
275,32,male,2,own,little,NA,"$2,697",9    ,radio/TV
276,26,female,2,own,little,NA,"$2,404",18    ,radio/TV
277,49,male,1,own,NA,little,"$1,262",12    ,furniture/equipment
278,32,female,2,own,little,NA,"$4,611",6    ,furniture/equipment
279,29,male,3,rent,moderate,NA,"$1,901",24    ,radio/TV
280,23,male,2,rent,rich,NA,"$3,368",15    ,car
281,50,male,2,own,little,NA,"$1,574",12    ,furniture/equipment
282,49,male,1,own,NA,rich,"$1,445",18    ,radio/TV
283,63,male,2,own,NA,NA,"$1,520",15    ,furniture/equipment
284,37,male,2,own,moderate,moderate,"$3,878",24    ,car
285,35,female,1,own,little,little,"$10,722",47    ,car
286,26,male,2,own,little,little,"$4,788",48    ,car
287,31,male,3,free,moderate,moderate,"$7,582",48    ,vacation/others
288,49,female,2,own,little,moderate,"$1,092",12    ,radio/TV
289,48,male,2,own,little,little,"$1,024",24    ,radio/TV
290,26,male,2,own,little,NA,"$1,076",12    ,business
291,28,male,3,rent,little,moderate,"$9,398",36    ,car
292,44,female,3,free,little,little,"$6,419",24    ,car
293,56,male,2,free,little,rich,"$4,796",42    ,car
294,46,male,3,own,NA,NA,"$7,629",48    ,business
295,26,female,2,own,little,moderate,"$9,960",48    ,furniture/equipment
296,20,female,2,rent,NA,NA,"$4,675",12    ,car
297,45,male,1,own,NA,NA,"$1,287",10    ,car
298,43,male,2,own,little,NA,"$2,515",18    ,furniture/equipment
299,32,male,2,own,rich,moderate,"$2,745",21    ,furniture/equipment
300,54,female,0,own,little,NA,$672,6    ,car
301,42,female,2,own,little,moderate,"$3,804",36    ,radio/TV
302,37,male,1,own,NA,rich,"$1,344",24    ,car
303,49,male,2,own,little,little,"$1,038",10    ,car
304,44,male,2,free,quite rich,NA,"$10,127",48    ,car
305,33,male,2,own,rich,NA,"$1,543",6    ,furniture/equipment
306,24,female,1,rent,NA,NA,"$4,811",30    ,car
307,33,male,1,own,moderate,little,$727,12    ,radio/TV
308,24,female,2,own,little,moderate,"$1,237",8    ,furniture/equipment
309,22,male,1,rent,little,moderate,$276,9    ,car
310,40,male,0,free,NA,moderate,"$5,381",48    ,vacation/others
311,25,male,2,own,moderate,NA,"$5,511",24    ,furniture/equipment
312,26,female,2,own,little,rich,"$3,749",24    ,furniture/equipment
313,25,male,1,own,little,moderate,$685,12    ,car
314,29,male,1,own,NA,rich,"$1,494",4    ,car
315,31,male,2,own,little,little,"$2,746",36    ,furniture/equipment
316,38,male,1,own,little,little,$708,12    ,furniture/equipment
317,48,female,1,own,NA,moderate,"$4,351",24    ,furniture/equipment
318,32,male,2,own,little,NA,$701,12    ,education
319,27,female,1,own,little,little,"$3,643",15    ,furniture/equipment
320,28,male,3,own,little,moderate,"$4,249",30    ,car
321,32,male,2,own,little,little,"$1,938",24    ,radio/TV
322,34,male,3,free,little,little,"$2,910",24    ,car
323,28,male,2,own,rich,little,"$2,659",18    ,furniture/equipment
324,36,female,2,own,little,NA,"$1,028",18    ,car
325,39,male,1,own,little,little,"$3,398",8    ,car
326,49,male,2,rent,NA,NA,"$5,801",12    ,furniture/equipment
327,34,female,2,own,rich,NA,"$1,525",24    ,car
328,31,male,2,own,little,rich,"$4,473",36    ,radio/TV
329,28,male,2,own,little,moderate,"$1,068",6    ,radio/TV
330,75,male,3,free,little,little,"$6,615",24    ,car
331,30,female,2,own,moderate,NA,"$1,864",18    ,education
